lista,run,timp_sec
Aproape sortat 1000000,9,5.95081
Aproape sortat 1000000,10,-5.2288
Aproape sortat 10000000,1,6.95117
Aproape sortat 10000000,2,6.78874
Aproape sortat 10000000,3,6.35438
Aproape sortat 10000000,4,6.92352
Aproape sortat 10000000,5,7.15773
Aproape sortat 10000000,6,6.50328
Aproape sortat 10000000,7,7.03185
Aproape sortat 10000000,8,6.95899
Aproape sortat 10000000,9,6.46631
Aproape sortat 10000000,10,6.89031
Aleator 100,1,0.000470094
Aleator 100,2,0.000389333
Aleator 100,3,0.000394326
Aleator 100,4,0.000412059
Aleator 100,5,0.000387528
Aleator 100,6,0.000423664
Aleator 100,7,0.000444046
Aleator 100,8,0.000386561
Aleator 100,9,0.000423047
Aleator 100,10,0.000386715
Aleator 10000,1,0.00504093
Aleator 10000,2,0.00504288
Aleator 10000,3,0.00487651
Aleator 10000,4,0.00515777
Aleator 10000,5,0.00498379
Aleator 10000,6,0.00577969
Aleator 10000,7,0.00502454
Aleator 10000,8,0.00525145
Aleator 10000,9,0.00494663
Aleator 10000,10,0.00492881
Aleator 100000,1,0.0564908
Aleator 100000,2,0.0565843
Aleator 100000,3,0.0551389
Aleator 100000,4,0.0555388
Aleator 100000,5,0.0548406
Aleator 100000,6,0.0555536
Aleator 100000,7,0.0544035
Aleator 100000,8,0.0552439
Aleator 100000,9,0.0550857
Aleator 100000,10,0.0552897
Aleator 400000,1,0.246159
Aleator 400000,2,0.254167
Aleator 400000,3,0.255292
Aleator 400000,4,0.250781
Aleator 400000,5,0.256163
Aleator 400000,6,-0.237708
Aleator 400000,7,0.256701
Aleator 400000,8,0.25627
Aleator 400000,9,0.251393
Aleator 400000,10,0.252084
Aleator 1000000,1,0.68913
Aleator 1000000,2,0.729775
Aleator 1000000,3,0.740366
Aleator 1000000,4,0.726473
Aleator 1000000,5,0.726186
Aleator 1000000,6,6.07225
Aleator 1000000,7,-5.10137
Aleator 1000000,8,0.735201
Aleator 1000000,9,0.743091
Aleator 1000000,10,0.711763
Aleator 10000000,1,10.565
Aleator 10000000,2,10.4035
Aleator 10000000,3,10.44
Aleator 10000000,4,10.4463
Aleator 10000000,5,10.5323
Aleator 10000000,6,10.3615
Aleator 10000000,7,10.3836
Aleator 10000000,8,10.4281
Aleator 10000000,9,11.1139
Aleator 10000000,10,11.2608
Plat 100,1,0.000548106
Plat 100,2,0.000513139
Plat 100,3,0.000487848
Plat 100,4,0.000460535
Plat 100,5,0.000453892
Plat 100,6,0.000413367
Plat 100,7,0.000406779
Plat 100,8,0.000401036
Plat 100,9,0.000404667
Plat 100,10,0.000380994
Plat 10000,1,0.00479377
Plat 10000,2,0.00476975
Plat 10000,3,0.0049045
Plat 10000,4,0.00504745
Plat 10000,5,0.00469381
Plat 10000,6,0.00534649
Plat 10000,7,0.00508176
Plat 10000,8,0.00482155
Plat 10000,9,0.00491404
Plat 10000,10,0.00481388
Plat 100000,1,0.0574931
Plat 100000,2,0.0552448
Plat 100000,3,0.0500765
Plat 100000,4,0.0499318
Plat 100000,5,0.0491653
Plat 100000,6,0.0500776
Plat 100000,7,0.0491436
Plat 100000,8,0.0519049
Plat 100000,9,0.050264
Plat 100000,10,0.051308
Plat 400000,1,0.223054
Plat 400000,2,0.225382
Plat 400000,3,0.236551
Plat 400000,4,0.227136
Plat 400000,5,0.22082
Plat 400000,6,-0.25787
Plat 400000,7,0.224358
Plat 400000,8,0.222876
Plat 400000,9,0.221497
Plat 400000,10,0.223495
Plat 1000000,1,0.593457
Plat 1000000,2,0.606716
Plat 1000000,3,0.624921
Plat 1000000,4,0.641094
Plat 1000000,5,0.591234
Plat 1000000,6,0.575874
Plat 1000000,7,0.586108
Plat 1000000,8,0.123114
Plat 1000000,9,0.606609
Plat 1000000,10,0.612895
Plat 10000000,1,6.3835
Plat 10000000,2,6.41067
Plat 10000000,3,11.4504
Plat 10000000,4,0.354267
Plat 10000000,5,7.14951
Plat 10000000,6,6.31754
Plat 10000000,7,6.02332
Plat 10000000,8,6.1401
Plat 10000000,9,6.16989
Plat 10000000,10,6.27365
