lista,run,timp_sec
Aproape sortat 1000000,8,0.222875
Aproape sortat 1000000,9,0.221086
Aproape sortat 1000000,10,0.223285
Aproape sortat 10000000,1,2.68845
Aproape sortat 10000000,2,2.5687
Aproape sortat 10000000,3,2.53809
Aproape sortat 10000000,4,2.62601
Aproape sortat 10000000,5,2.5432
Aproape sortat 10000000,6,2.58236
Aproape sortat 10000000,7,2.56488
Aproape sortat 10000000,8,2.56901
Aproape sortat 10000000,9,2.58098
Aproape sortat 10000000,10,2.59298
Aleator 100,1,0.00115104
Aleator 100,2,0.000396884
Aleator 100,3,0.000693993
Aleator 100,4,0.000342151
Aleator 100,5,0.000352361
Aleator 100,6,0.000360392
Aleator 100,7,0.000407499
Aleator 100,8,0.000357551
Aleator 100,9,0.000346112
Aleator 100,10,0.000345166
Aleator 10000,1,0.00446414
Aleator 10000,2,0.00296151
Aleator 10000,3,0.00272828
Aleator 10000,4,0.00267162
Aleator 10000,5,0.00265594
Aleator 10000,6,0.00296528
Aleator 10000,7,0.00264584
Aleator 10000,8,0.00276742
Aleator 10000,9,0.00267826
Aleator 10000,10,0.00259023
Aleator 100000,1,0.0291535
Aleator 100000,2,0.0277654
Aleator 100000,3,0.027683
Aleator 100000,4,0.0294706
Aleator 100000,5,0.0273376
Aleator 100000,6,0.0276812
Aleator 100000,7,0.0275326
Aleator 100000,8,0.0269996
Aleator 100000,9,0.0272438
Aleator 100000,10,0.0272201
Aleator 400000,1,0.119324
Aleator 400000,2,0.119976
Aleator 400000,3,0.118204
Aleator 400000,4,5.21714
Aleator 400000,5,-4.98983
Aleator 400000,6,0.115245
Aleator 400000,7,0.115639
Aleator 400000,8,0.117469
Aleator 400000,9,0.119203
Aleator 400000,10,0.117001
Aleator 1000000,1,0.325985
Aleator 1000000,2,0.31385
Aleator 1000000,3,0.319002
Aleator 1000000,4,0.311652
Aleator 1000000,5,0.305668
Aleator 1000000,6,0.311615
Aleator 1000000,7,0.311442
Aleator 1000000,8,0.313539
Aleator 1000000,9,0.312552
Aleator 1000000,10,0.323246
Aleator 10000000,1,3.64609
Aleator 10000000,2,3.487
Aleator 10000000,3,3.45973
Aleator 10000000,4,3.46445
Aleator 10000000,5,3.44204
Aleator 10000000,6,3.4396
Aleator 10000000,7,3.43733
Aleator 10000000,8,3.51965
Aleator 10000000,9,3.4969
Aleator 10000000,10,3.44398
Plat 100,1,0.000872692
Plat 100,2,0.000342347
Plat 100,3,0.000329037
Plat 100,4,0.000325958
Plat 100,5,0.000325268
Plat 100,6,0.000349867
Plat 100,7,0.000334737
Plat 100,8,0.000340427
Plat 100,9,0.000327458
Plat 100,10,0.000325498
Plat 10000,1,0.00298483
Plat 10000,2,0.00222759
Plat 10000,3,0.0022592
Plat 10000,4,0.00220131
Plat 10000,5,0.00221814
Plat 10000,6,0.00218383
Plat 10000,7,0.00237436
Plat 10000,8,0.00236864
Plat 10000,9,0.00217839
Plat 10000,10,0.00223778
Plat 100000,1,0.0225709
Plat 100000,2,0.0224649
Plat 100000,3,0.0216613
Plat 100000,4,0.0217212
Plat 100000,5,0.0234556
Plat 100000,6,0.0218301
Plat 100000,7,0.0215193
Plat 100000,8,0.0217204
Plat 100000,9,0.0228202
Plat 100000,10,0.0219245
Plat 400000,1,0.0953983
Plat 400000,2,0.0926929
Plat 400000,3,0.0943957
Plat 400000,4,0.0946243
Plat 400000,5,0.0927737
Plat 400000,6,0.0921127
Plat 400000,7,0.0913183
Plat 400000,8,0.0918524
Plat 400000,9,0.0920636
Plat 400000,10,0.0929945
Plat 1000000,1,0.253947
Plat 1000000,2,0.241993
Plat 1000000,3,0.242797
Plat 1000000,4,0.242392
Plat 1000000,5,0.241304
Plat 1000000,6,0.246691
Plat 1000000,7,0.252162
Plat 1000000,8,0.244995
Plat 1000000,9,0.24669
Plat 1000000,10,0.24077
Plat 10000000,1,7.85386
Plat 10000000,2,-2.41621
Plat 10000000,3,2.67156
Plat 10000000,4,2.67067
Plat 10000000,5,2.67995
Plat 10000000,6,2.63326
Plat 10000000,7,2.68461
Plat 10000000,8,2.68406
Plat 10000000,9,2.66832
Plat 10000000,10,2.67834
