lista,run,timp_sec
Aproape sortat 100000,13,23.7489
Aproape sortat 100000,14,23.6002
Aproape sortat 100000,15,23.6513
Aproape sortat 100000,16,24.7294
Aproape sortat 100000,17,23.7298
Aproape sortat 100000,18,23.5953
Aproape sortat 100000,19,23.7376
Aproape sortat 100000,20,24.7375
Aleator 100,1,0.00335336
Aleator 100,2,0.000495279
Aleator 100,3,0.000473604
Aleator 100,4,0.000435471
Aleator 100,5,0.000500828
Aleator 100,6,0.000462589
Aleator 100,7,0.000410828
Aleator 100,8,0.000444965
Aleator 100,9,0.000429811
Aleator 100,10,0.000478565
Aleator 100,11,0.00040402
Aleator 100,12,0.000439175
Aleator 100,13,0.000440654
Aleator 100,14,0.000424117
Aleator 100,15,0.000472964
Aleator 100,16,0.000430275
Aleator 100,17,0.000500581
Aleator 100,18,0.000452785
Aleator 100,19,0.000468724
Aleator 100,20,0.000600162
Aleator 10000,1,0.498732
Aleator 10000,2,0.497658
Aleator 10000,3,0.497536
Aleator 10000,4,0.498858
Aleator 10000,5,0.498318
Aleator 10000,6,0.498669
Aleator 10000,7,0.495967
Aleator 10000,8,0.500708
Aleator 10000,9,-0.524835
Aleator 10000,10,0.497663
Aleator 10000,11,0.500224
Aleator 10000,12,0.498524
Aleator 10000,13,0.496585
Aleator 10000,14,0.498264
Aleator 10000,15,0.497148
Aleator 10000,16,0.498634
Aleator 10000,17,0.502323
Aleator 10000,18,0.502228
Aleator 10000,19,0.503242
Aleator 10000,20,0.504743
Aleator 100000,1,48.7306
Aleator 100000,2,47.72
Aleator 100000,3,48.7254
Aleator 100000,4,47.7062
Aleator 100000,5,48.6408
Aleator 100000,6,47.7657
Aleator 100000,7,48.797
Aleator 100000,8,47.6924
Aleator 100000,9,47.8923
Aleator 100000,10,48.7306
Aleator 100000,11,48.089
Aleator 100000,12,49.0376
Aleator 100000,13,48.0742
Aleator 100000,14,49.1345
Aleator 100000,15,48.0753
Aleator 100000,16,49.0451
Aleator 100000,17,48.0756
Aleator 100000,18,48.0922
Aleator 100000,19,49.1379
