lista,medie_timp
Inversat 100,0.000435857
Inversat 10000,0.208557
Inversat 100000,21.0167
Sortat 100,0.00051154
Sortat 10000,0.00119111
Sortat 100000,0.00703662
Aproape sortat 100,0.000521834
Aproape sortat 10000,0.0150706
Aproape sortat 100000,1.28843
Aleator 100,0.000576352
Aleator 10000,0.100316
Aleator 100000,10.1493
Plat 100,0.000529266
Plat 10000,0.0951092
Plat 100000,9.24212
