lista,medie_timp
Inversat 100,0.000546715
Inversat 10000,0.539773
Inversat 100000,52.1893
Sortat 100,0.000402098
Sortat 10000,0.00111846
Sortat 100000,0.00693313
Aproape sortat 100,0.000475489
Aproape sortat 10000,0.248875
Aproape sortat 100000,23.9269
Aleator 100,0.000605938
Aleator 10000,0.448059
Aleator 100000,48.3572
Plat 100,0.000440658
Plat 10000,0.496623
Plat 100000,47.6091
